N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
512	105.6	12.8744	12.8771	12.8888	12.8744	12.7705	12.864	2
512	106.4	13.2676	13.2737	13.2824	13.2676	13.1843	13.2566	2
512	107.2	13.6669	13.6704	13.676	13.6669	13.5918	13.6552	2
512	108	14.0722	14.0723	14.081	14.0722	14.0092	14.0744	2
512	108.8	14.4833	14.489	14.4981	14.4833	14.4301	14.4858	2
512	109.6	14.9004	14.9057	14.9153	14.9004	14.8344	14.8759	2
512	110.4	15.3232	15.3223	15.3324	15.3232	15.2667	15.2982	2
512	111.2	15.7517	15.7558	15.7605	15.7517	15.6868	15.718	2
512	112	16.1859	16.1921	16.2006	16.1859	16.1217	16.1511	2
512	112.8	16.6256	16.6285	16.6408	16.6256	16.5774	16.5899	2
512	113.6	17.0708	17.0716	17.081	17.0708	17.0542	17.0538	2
512	114.4	17.5214	17.5272	17.5289	17.5214	17.5194	17.5045	2
512	115.2	17.9774	17.9828	17.9915	17.9774	17.9692	17.9654	2
512	116	18.4386	18.4383	18.454	18.4386	18.4486	18.4261	2
512	116.8	18.9049	18.9083	18.9165	18.9049	18.9258	18.9205	2
512	117.6	19.3763	19.3825	19.3812	19.3763	19.428	19.3916	2
512	118.4	19.8527	19.8567	19.8653	19.8527	19.9108	19.8685	2
512	119.2	20.3341	20.3326	20.3495	20.3341	20.3755	20.3319	2
512	120	20.8202	20.8249	20.8336	20.8202	20.8668	20.8177	2
1024	80	3.71703	3.71837	3.71892	3.71703	3.39746	3.72162	2
1024	80.8	3.90209	3.90701	3.90291	3.90209	3.58882	3.90701	2
1024	81.6	4.09333	4.09566	4.09554	4.09333	3.77885	4.09386	2
1024	82.4	4.29085	4.29489	4.29296	4.29085	3.98233	4.29105	2
1024	83.2	4.49468	4.49961	4.49561	4.49468	4.19936	4.50098	2
1024	84	4.7049	4.70547	4.70735	4.7049	4.41494	4.71139	2
1024	84.8	4.92156	4.92707	4.92371	4.92156	4.63951	4.91902	2
1024	85.6	5.14471	5.14867	5.14612	5.14471	4.86427	5.142	2
1024	86.4	5.37438	5.37752	5.37712	5.37438	5.10291	5.37163	2
1024	87.2	5.61063	5.61674	5.61247	5.61063	5.35025	5.61727	2
1024	88	5.85348	5.85597	5.85566	5.85348	5.6031	5.86001	2
1024	88.8	6.10296	6.10779	6.10582	6.10296	5.85292	6.1061	2
1024	89.6	6.3591	6.36532	6.35995	6.3591	6.12044	6.36232	2
1024	90.4	6.62192	6.62286	6.62485	6.62192	6.38542	6.61836	2
1024	91.2	6.89142	6.89733	6.89381	6.89142	6.6597	6.88802	2
1024	92	7.16763	7.17378	7.16986	7.16763	6.94861	7.16426	2
1024	92.8	7.45054	7.45085	7.45368	7.45054	7.23161	7.44536	2
1024	93.6	7.74015	7.74672	7.74107	7.74015	7.53508	7.7351	2
1024	94.4	8.03645	8.0426	8.03974	8.03645	7.79918	7.99628	2
1024	95.2	8.33945	8.34038	8.34156	8.33945	8.11475	8.29809	2
1024	96	8.64911	8.65608	8.65206	8.64911	8.42488	8.60676	2
1024	96.8	8.96543	8.97179	8.96841	8.96543	8.77709	8.94586	2
1024	97.6	9.28837	9.28922	9.29065	9.28837	9.10357	9.26866	2
1024	98.4	9.61792	9.62505	9.62138	9.61792	9.47077	9.62769	2
1024	99.2	9.95404	9.96087	9.95543	9.95404	9.81175	9.96428	2
1024	100	10.2967	10.2967	10.3003	10.2967	10.1703	10.2721	2
1024	100.8	10.6458	10.6528	10.6472	10.6458	10.489	10.6207	2
1024	101.6	11.0014	11.0089	11.0051	11.0014	10.8468	10.9756	2
1024	102.4	11.3634	11.365	11.3655	11.3634	11.2544	11.3719	2
1024	103.2	11.7318	11.7381	11.7353	11.7318	11.6393	11.7407	2
1024	104	12.1064	12.1145	12.109	12.1064	11.9958	12.092	2
1024	104.8	12.4873	12.4909	12.4907	12.4873	12.3754	12.4734	2
1024	105.6	12.8744	12.8793	12.8773	12.8744	12.7705	12.864	2
1024	106.4	13.2676	13.276	13.2709	13.2676	13.1843	13.2566	2
1024	107.2	13.6669	13.6726	13.67	13.6669	13.5918	13.6552	2
1024	108	14.0722	14.0746	14.0753	14.0722	14.0092	14.0744	2
1024	108.8	14.4833	14.4913	14.4865	14.4833	14.4301	14.4858	2
1024	109.6	14.9004	14.9079	14.9035	14.9004	14.8344	14.8759	2
1024	110.4	15.3232	15.3246	15.3264	15.3232	15.2667	15.2982	2
1024	111.2	15.7517	15.758	15.755	15.7517	15.6868	15.718	2
1024	112	16.1859	16.1944	16.1889	16.1859	16.1217	16.1511	2
1024	112.8	16.6256	16.6307	16.629	16.6256	16.5774	16.5899	2
1024	113.6	17.0708	17.0739	17.0737	17.0708	17.0542	17.0538	2
1024	114.4	17.5214	17.5295	17.525	17.5214	17.5194	17.5045	2
