N	K	TruePrice	CM	FST	COS	SET
8192	101.6	8.45744	8.45709	8.45747	8.45749	1
8192	102.4	8.0117	8.01154	8.01177	8.01175	1
8192	103.2	7.57848	7.57886	7.57854	7.57852	1
8192	104	7.15858	7.15941	7.15858	7.15862	1
8192	104.8	6.75294	6.75337	6.75295	6.75299	1
8192	105.6	6.3627	6.3611	6.36275	6.36275	1
8192	106.4	5.98926	5.98536	5.98934	5.9893	1
8192	107.2	5.63448	5.63086	5.63457	5.63451	1
8192	108	5.30108	5.3023	5.30118	5.3011	1
8192	108.8	4.99445	5.00214	4.99447	4.9943	1
8192	109.6	4.72358	4.72859	4.72368	4.72357	1
8192	110.4	4.47879	4.47939	4.47887	4.47879	1
8192	111.2	4.25399	4.2522	4.25407	4.25402	1
8192	112	4.04604	4.04411	4.04611	4.04608	1
8192	112.8	3.85275	3.85202	3.85279	3.85278	1
8192	113.6	3.67243	3.67282	3.67244	3.67243	1
8192	114.4	3.50375	3.5044	3.50373	3.50374	1
8192	115.2	3.34559	3.34604	3.34562	3.3456	1
8192	116	3.197	3.19713	3.19705	3.19704	1
8192	116.8	3.05716	3.05708	3.0572	3.05718	1
8192	117.6	2.92537	2.92525	2.92536	2.92535	1
8192	118.4	2.80099	2.80095	2.80103	2.801	1
8192	119.2	2.68346	2.68353	2.68352	2.68351	1
8192	120	2.5723	2.57239	2.5723	2.5723	1
512	80	27.7284	27.7262	27.7278	27.7284	2
512	80.8	27.0212	27.0189	27.0214	27.0212	2
512	81.6	26.316	26.3137	26.3167	26.316	2
512	82.4	25.613	25.6108	25.612	25.613	2
512	83.2	24.9126	24.9103	24.9129	24.9126	2
512	84	24.2149	24.2127	24.216	24.2149	2
512	84.8	23.5202	23.518	23.5191	23.5202	2
512	85.6	22.8289	22.8266	22.829	22.8289	2
512	86.4	22.1411	22.1388	22.1427	22.1411	2
512	87.2	21.4572	21.4549	21.4564	21.4572	2
512	88	20.7776	20.7753	20.7767	20.7776	2
512	88.8	20.1025	20.1003	20.1047	20.1025	2
512	89.6	19.4324	19.4302	19.4326	19.4324	2
512	90.4	18.7677	18.7654	18.7644	18.7677	2
512	91.2	18.1087	18.1064	18.1111	18.1087	2
512	92	17.4559	17.4536	17.4578	17.4559	2
512	92.8	16.8097	16.8074	16.8045	16.8097	2
512	93.6	16.1705	16.1683	16.1717	16.1705	2
512	94.4	15.5389	15.5367	15.5428	15.5389	2
512	95.2	14.9154	14.9131	14.9138	14.9154	2
512	96	14.3003	14.298	14.2967	14.3003	2
512	96.8	13.6942	13.6919	13.6987	13.6942	2
512	97.6	13.0976	13.0954	13.1007	13.0976	2
512	98.4	12.5111	12.5088	12.5026	12.5111	2
512	99.2	11.935	11.9328	11.9361	11.935	2
512	100	11.37	11.3678	11.3765	11.37	2
512	100.8	10.8166	10.8143	10.8168	10.8166	2
512	101.6	10.2752	10.2729	10.2643	10.2752	2
512	102.4	9.74633	9.74407	9.75103	9.74632	2
512	103.2	9.23048	9.22824	9.23782	9.23048	2
512	104	8.72812	8.72587	8.7246	8.72812	2
512	104.8	8.23967	8.23741	8.23167	8.23967	2
512	105.6	7.76555	7.7633	7.77283	7.76555	2
512	106.4	7.30614	7.3039	7.31398	7.30614	2
512	107.2	6.86181	6.85956	6.85514	6.86181	2
512	108	6.43287	6.43062	6.42588	6.43287	2
512	108.8	6.0196	6.01736	6.02842	6.0196	2
512	109.6	5.62225	5.62	5.63096	5.62224	2
512	110.4	5.24099	5.23874	5.23351	5.24099	2
512	111.2	4.87599	4.87375	4.86753	4.87599	2
512	112	4.52732	4.52509	4.53638	4.52732	2
512	112.8	4.19504	4.19279	4.20524	4.19504	2
512	113.6	3.87913	3.87688	3.8741	3.87913	2
512	114.4	3.57952	3.57728	3.56661	3.57952	2
